"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha00",10.6364614090187,0.0438343405123618,0.95501060084759,8.73940540819034,10.0108575587919,10.6437780416168,11.2614486844824,12.5322709307555,474.665241697754,1.00131922066446
"alpha01",6.68475178132606,0.0235174301766542,0.776109291433441,5.11363728519678,6.15658658497346,6.67581014128989,7.21048271921453,8.18080260876235,1089.09568899617,1.00051931220636
"alpha02",0.325533001620378,0.00188092631645487,0.0361606708317038,0.254462627894725,0.301792147910866,0.325116722028048,0.349754510879241,0.396760516323595,369.597812134756,0.999985634529838
"alpha03",1.99546527193513,0.000137045824268585,0.0128648163074263,1.97048462947768,1.98686729367946,1.99553881002378,2.00396130198058,2.02078014080276,8812.02182849891,0.99981039899206
"alpha04",9.60368030901645,0.032042670486774,1.05042897795813,7.5371384608971,8.90487286443256,9.604071168946,10.3304375260907,11.5844343858552,1074.67211614702,1.00120344926177
"alpha11",-1.024576543419,0.00236750007618013,0.0723309219246173,-1.16971572852904,-1.07363812267679,-1.02416449921189,-0.974325242068055,-0.884207100386057,933.400432828036,1.00387893905883
"alpha12",0.0458403372451548,9.99884819400769e-05,0.00322799503632654,0.0396744463774651,0.0436747131450774,0.0457316982150992,0.0479546157562032,0.0522872571877009,1042.23527219437,1.00508050563993
"b",0.00879766915051687,0.00149220047761693,0.0112161336300614,-0.013169469566647,0.00155418170429314,0.00892733882033388,0.0161729654592037,0.0306182655064501,56.4978603006884,1.01304175556353
"c",0.0609512346103945,0.000551296057346159,0.0101105482543876,0.0421527663019727,0.0540279554733472,0.0605038949569214,0.0674778998751766,0.0820332156485053,336.340867021933,1.00669036216585
"sigma_b",7.70640382192076,0.00759666123739689,0.274709732987949,7.21488359425361,7.51472149372331,7.69618504948897,7.89000195448845,8.2751718920308,1307.68328758304,1.00034286027482
"sigma_u",4.31446987333721,0.0176893077135291,0.603701036224978,3.24404979646415,3.90496075350482,4.27375586694113,4.68870658145794,5.62241606154885,1164.72170587124,1.00050643449932
