"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha00",9.47869051589338,0.0285438709906671,0.587585740933775,8.34404960968178,9.08406760047688,9.46178317232598,9.86336332274781,10.6572756854093,423.756874395703,1.00339511886788
"alpha01",5.23091093197334,0.0259340755790579,0.637952444481244,4.01359275444595,4.78850079517957,5.21621902660302,5.6632123157331,6.48468221173055,605.111027339754,0.999913847464941
"alpha02",0.274667667992198,0.00158245762875062,0.0348602369003102,0.206932816032216,0.251373092075787,0.274505606667322,0.298522031711632,0.342233086070561,485.284575304861,0.999974913289706
"alpha03",2.0155069336101,0.000251225728309975,0.0200234281974991,1.97616596892863,2.00225252201093,2.01555178950735,2.02868585611472,2.0543600635878,6352.55804030394,0.999863831996395
"alpha04",10.0455206265948,0.0260066525342879,0.610016869004906,8.81093777354662,9.63592686630557,10.0381171377171,10.4700606057433,11.2155360394362,550.192643489596,1.00219789318723
"alpha11",0.9645324502204,0.00186921178104169,0.0761972316808677,0.81632039509245,0.912737354454836,0.964218023284238,1.01708849577461,1.10997271558501,1661.73347026111,1.00047170956379
"alpha12",0.0485027316393618,9.88144385972804e-05,0.00399459380372653,0.0403940959915457,0.0458609169133107,0.0485403182046867,0.0511428621448272,0.0560857523075218,1634.19709003846,1.00463926035565
"b",0.041724534924822,0.000423802432709924,0.00671745303572978,0.0285574125441519,0.0372040249716569,0.041896620828008,0.0463852212478744,0.0546765115926858,251.236298906156,1.00284133432827
"sigma_b",7.97435356893066,0.0112698895535316,0.261118323732901,7.48656153668443,7.79982290069815,7.96856333847549,8.14667688428318,8.4972474929232,536.828270174612,1.0057604401237
"sigma_e",3.06799362966448,0.00109554907731042,0.0597190565150553,2.9504040343932,3.02817807717448,3.06797473742064,3.10635275667199,3.18864100842373,2971.40740125508,0.99979274464958
"lambda0",0.0552581116264284,0.000137377174539487,0.00551705639753625,0.0449227230521215,0.0514121225180433,0.055104575304039,0.0586716957304661,0.0665010766365665,1612.81920843658,1.00058062842204
"gamma",1.19415614560841,0.000970606194994632,0.0325194685576206,1.12983132619937,1.17200664934377,1.1942231823974,1.21587162313225,1.25835648777461,1122.53724990118,1.00202846426809
"z_b[1]",-0.21269542765204,0.00467156123237372,0.273108478821369,-0.747645444903514,-0.399034375015195,-0.213879227796337,-0.0296299156176043,0.321052366787033,3417.79708571529,1.00119628814221
"z_b[2]",-0.0440207757969303,0.0142035181026182,0.88547400927824,-1.88825162951887,-0.647941572062775,0.0149826001851372,0.623335247601609,1.4354899338788,3886.50989788427,1.00071438933722
"z_b[3]",1.08926540676513,0.0053390083512273,0.36853975787351,0.377468041423467,0.834256036301031,1.08960961990581,1.3440926698964,1.81249263677443,4764.83089471368,1.00041103293799
"z_b[4]",-0.448470418663649,0.0157931322654836,0.955829722898055,-2.29676363314923,-1.10113563568971,-0.470890697621913,0.192893305855847,1.4498133434235,3662.89540729762,1.00001047931741
"z_b[5]",-0.31823337177412,0.0105371208611284,0.698681566052355,-1.91410096365506,-0.735745246187539,-0.194261211115509,0.218909593721579,0.696559195128585,4396.57663057196,1.00026359399338
"z_b[6]",-0.928940131273578,0.00437243744079293,0.368020912423757,-1.66132850401334,-1.17536708811713,-0.927415953810665,-0.683075282782539,-0.198817629776608,7084.31374251839,0.999565293589055
"z_b[7]",2.06762931938736,0.00521543230941891,0.367978876154979,1.37142914971832,1.81976541302752,2.0614881640133,2.32130372119004,2.7820837902785,4978.11759158554,1.00002975569746
"z_b[8]",-0.228881509961395,0.0134854091834519,0.729844319075116,-1.88076307146769,-0.686290309132229,-0.11776124034781,0.34090052759629,0.848506419654184,2929.08656326024,1.00051719790768
"z_b[9]",-0.597031739068135,0.0194168912002362,0.971499942382192,-2.46360873740936,-1.26504209534986,-0.608071698293431,0.0594555026402436,1.33343874218239,2503.37646009445,1.00023470072615
"z_b[10]",-0.33100358969968,0.00450335465854464,0.27701027714149,-0.876108518370888,-0.516418594279035,-0.327684283217444,-0.142305537653766,0.209706367232434,3783.72410564774,1.00077071156647
"z_b[11]",0.272056825179157,0.00526045147602325,0.37218190597468,-0.44554503731789,0.0154492526702753,0.266917810021193,0.526760915145327,0.995255606628893,5005.69602793036,0.999699862322691
"z_b[12]",-0.815464302158629,0.00503660220088324,0.210226691342231,-1.23974614129205,-0.95168819569893,-0.815238310143815,-0.679634972018492,-0.395431860447974,1742.20962444576,1.00173411316776
"z_b[13]",-0.58444469937151,0.0109672185894486,0.643562353521935,-2.11156467855422,-0.961702869108604,-0.459036344820722,-0.107447195976262,0.327620327566294,3443.40624976661,0.999767947608435
"z_b[14]",0.645521337740144,0.00519944986143415,0.353203232308734,-0.0462412824470392,0.411722374488026,0.647631273226605,0.875514850361747,1.33545625105411,4614.60518152336,1.0000630227561
"z_b[15]",0.648193854152335,0.00408902231130886,0.26918438652111,0.134515836785728,0.467914845974656,0.645205187696468,0.824269957554105,1.19339580751697,4333.71923264551,0.999719796667242
"z_b[16]",0.796256537882816,0.00450467540295801,0.235145944560938,0.326754157366649,0.640862957926337,0.802093454109323,0.954959672834393,1.24965663791292,2724.88376851689,1.00131861980457
"z_b[17]",0.027622094667053,0.00439586388808422,0.36044017989569,-0.68621013423021,-0.219744335268051,0.0296641464349393,0.27113715291131,0.726164142990164,6723.22928301229,0.999984075133745
"z_b[18]",0.890462524179679,0.00388557664295524,0.226899725623954,0.462464227935192,0.733949276309277,0.886630631703951,1.03929977747661,1.3401897961051,3410.02043658792,1.0013833778756
"z_b[19]",0.211149065850294,0.0271391960793702,1.02076243052482,-1.78888348730205,-0.462732010162701,0.19650567787059,0.913599019725605,2.19972808970197,1414.67082496064,0.999726171451289
"z_b[20]",-0.951755988013393,0.00916700566362321,0.533969759252609,-2.25114054630424,-1.23326628558408,-0.850562560550703,-0.5581078474541,-0.197213054888281,3392.95675679342,1.00009414545871
"z_b[21]",0.120581185481761,0.00512660899474474,0.364399743637617,-0.6090077614258,-0.121274044277798,0.117026409977353,0.368024869587845,0.830057557100908,5052.37683449561,1.00013392762267
"z_b[22]",-0.548910429254344,0.0046976828927625,0.209048078124229,-0.967899172077666,-0.685855491597508,-0.544934958085793,-0.40734746672359,-0.147040031362046,1980.27253378401,1.00390647185189
"z_b[23]",-2.47290955155256,0.0067878136385566,0.24742495812189,-2.97627099577996,-2.63541759178904,-2.47099694579187,-2.30387123645886,-2.00163694501573,1328.70078201206,1.00428332505918
"z_b[24]",-0.744799324541,0.00466048416413617,0.367617610693851,-1.46213270920066,-0.992145593229814,-0.749548989375464,-0.499593655017249,-0.0210874947679781,6222.00768045132,1.00004190461711
"z_b[25]",0.00628484081126237,0.0171402341021869,1.02498651830414,-1.94093554322816,-0.683865528572189,-0.0137666934277171,0.693772353571184,2.04500642876601,3576.04362139868,0.99986797262225
"z_b[26]",-1.77995575866306,0.00798922205542796,0.433004752719182,-2.89718270742317,-1.99265183837559,-1.69968620139825,-1.47796865631341,-1.15213674998155,2937.48962895346,1.00148648991277
"z_b[27]",-0.0363828863675263,0.00468562046283574,0.359890093980209,-0.746872803674281,-0.283284345618683,-0.03482823407295,0.205804026951052,0.682660915072911,5899.36911644134,0.99955400721189
"z_b[28]",0.220057537428453,0.00623385541516004,0.223070234860832,-0.225591405614206,0.0709493327529361,0.224979139207072,0.372004887276394,0.658064012667445,1280.47115183186,0.999746413312563
